Block Assignment
number of blocks
5
number of containers
500
number of rows
10
number of columns
42
#Containers requests information, one line per container
#Type	rj	dj	dest	Block1	Block2	Block3	Block4	Block5
2	14	29	1	8	6	4	1	1
1	1	8	1	4	7	4	8	6
2	10	38	1	3	5	10	5	4
1	2	10	1	7	10	7	10	9
1	3	17	1	5	3	3	3	1
2	14	19	1	9	10	5	4	9
2	23	39	1	3	2	3	5	4
2	0	17	1	3	7	7	1	1
1	9	44	1	3	9	6	3	4
1	22	38	2	2	3	3	8	6
2	8	45	1	7	10	4	2	6
2	14	26	1	4	1	4	6	10
1	9	25	2	1	7	5	2	8
1	1	42	2	8	10	4	8	7
1	2	6	2	4	1	1	2	10
2	9	29	1	9	9	5	4	8
1	0	32	1	1	6	9	3	5
2	20	28	1	5	8	3	2	9
1	19	33	1	8	2	6	5	5
1	4	13	1	8	1	5	8	3
2	13	23	1	9	7	2	2	6
1	13	28	2	7	2	7	7	5
1	3	33	2	5	8	7	2	1
1	6	25	2	6	4	4	8	7
2	24	37	1	4	6	7	4	4
1	6	41	2	10	4	8	5	9
2	14	23	1	2	5	10	2	2
1	22	38	2	5	6	2	8	8
2	4	36	1	5	6	7	4	1
1	10	42	1	2	9	4	5	6
1	19	35	2	6	7	3	7	1
2	22	38	1	6	2	4	1	4
1	19	36	2	10	7	2	2	9
1	21	34	1	5	10	9	4	1
1	11	38	1	4	2	3	9	10
1	11	33	1	8	7	5	1	2
1	18	37	1	9	7	10	10	5
1	14	35	1	9	8	9	9	1
1	24	37	1	10	9	9	9	4
1	16	42	2	8	1	2	2	4
1	17	36	2	5	3	6	9	6
2	13	34	1	8	8	10	2	7
1	10	37	2	1	1	10	1	8
1	21	44	1	5	8	10	9	10
2	1	28	1	8	8	3	1	2
1	2	25	2	9	10	6	7	6
1	16	42	1	8	10	4	6	3
2	17	48	1	8	3	3	3	6
2	22	50	1	4	5	7	6	9
2	25	45	1	2	6	1	9	10
2	13	26	1	1	6	7	7	9
2	23	44	1	4	7	6	5	6
2	13	42	1	6	3	3	2	9
2	19	31	1	7	4	3	5	10
1	25	28	2	5	3	8	2	5
2	25	40	1	7	5	9	1	9
2	8	44	1	3	10	9	9	6
2	16	47	1	9	3	2	6	2
2	5	39	1	5	8	3	1	8
2	9	26	1	9	3	2	5	7
2	22	42	1	7	4	9	4	1
1	22	23	1	10	3	3	5	1
2	8	46	1	10	5	5	9	7
1	11	40	2	7	10	2	9	1
2	24	33	1	5	5	4	5	5
1	7	35	1	1	9	3	10	3
2	17	47	1	3	4	4	8	1
1	13	19	1	2	10	9	4	7
2	6	32	1	4	1	9	10	1
1	7	13	2	2	8	3	7	1
1	0	46	1	4	9	9	9	10
2	6	45	1	10	8	8	6	9
1	10	39	2	9	2	6	6	8
1	3	50	2	10	3	10	3	5
1	9	10	1	9	5	8	7	7
1	24	48	1	9	2	3	7	3
1	6	50	2	6	2	3	1	9
1	18	41	1	7	1	4	8	3
1	23	39	1	3	2	2	4	8
2	14	43	1	10	1	6	8	3
2	8	29	1	3	7	4	6	8
2	15	34	1	3	10	9	4	10
1	13	29	1	10	7	2	7	8
1	13	31	1	1	5	8	9	5
1	2	21	2	5	3	9	2	5
2	6	13	1	9	5	8	3	6
1	11	34	2	7	5	3	4	5
2	1	45	1	1	6	5	10	2
1	8	9	1	5	9	5	9	7
